window,side,won,entry_price,entry_rel_close,hour_utc,weekday,min60,min120,range60,n_prints_60,vol_60,conviction_s,secs_to_flip
1788690300,Up,True,0.9399999958,-50.0,10,6,0.5798182741,0.09999999999999998,0.3701817259,366,7246.595964,9.0,
1788686100,Up,True,0.9,-165.0,9,6,0.63,0.32999999999999996,0.28,296,8027.083249,9.0,
1788687900,Down,True,0.9699999968,-22.0,9,6,0.280188,0.280188,0.699812,565,12458.752255,4.0,
1788688800,Up,True,0.9,-158.0,10,6,0.63,0.519999998,0.28,193,4164.345807,6.0,
1788689700,Up,True,0.909999999,-125.0,10,6,0.73,0.65,0.18000000000000005,153,2890.53696,18.0,
1788687600,Down,True,0.9,-160.0,9,6,0.6499999878,0.6,0.2600000122,188,4138.77268,7.0,
1788686400,Up,True,0.9300000637,-100.0,9,6,0.20483333329999998,0.20483333329999998,0.7451666667,554,12047.816951,5.0,
1788689100,Up,True,0.96,-30.0,10,6,0.30000000000000004,0.17,0.6699999999999999,531,10405.59043,3.0,
1788686700,Up,True,0.94,-94.0,9,6,0.75,0.5,0.20999999999999996,274,5765.214786,7.0,
1788689400,Up,True,0.96,-14.0,10,6,0.43999999999999995,0.37,0.53,562,10671.270277,9.0,
1788690000,Up,True,0.99,1.0,10,6,0.2652630144,0.12,0.7247369856,905,24342.910601,0.0,
1788690900,Down,True,0.93,-102.0,10,6,0.53,0.49,0.41999999999999993,266,10542.446923,30.0,
1788691200,Up,True,0.9,-210.0,10,6,0.74,0.36,0.16000000000000003,166,4398.583806,8.0,
1788692700,Down,True,0.94,-132.0,11,6,0.32999999999999996,0.32999999999999996,0.62,328,9072.938623,3.0,
1788687300,Down,True,0.92,-223.0,9,6,0.6499999946,0.5199999813,0.2700000054,222,4804.623252,22.0,
1788691800,Up,True,0.96,-69.0,10,6,0.5,0.5,0.47,225,6902.820523,3.0,
1788692400,Down,True,0.9,-203.0,11,6,0.51,0.51,0.39,237,4789.816043,13.0,
1788694500,Down,True,0.9,-154.0,11,6,0.84,0.7195616615,0.07000000000000006,122,2939.629575,58.0,
1788693300,Down,True,0.9499401538,-53.0,11,6,0.16000000000000003,0.07999999999999996,0.7899999999999999,450,9902.065692,9.0,
1788692100,Up,True,0.93,-98.0,10,6,0.36,0.3300000002,0.59,396,10484.92248,7.0,
1788690600,Up,True,0.949999962,-35.0,10,6,0.4313640748,0.4299999502,0.5486359251999999,458,10816.641929,12.0,
1788688200,Up,True,0.9299999907,-72.0,9,6,0.62,0.36,0.31999996240000006,311,5063.386145,5.0,
