window_end,side,ask_price,size,cost_usd,requested_price,requested_size,held_for_s,order_id,tx_hashes,resolved_won,trade_time
1788685800,Up,0.98,5.1,4.998,0.98,5.1,5.5,0x86c646b3e1ae02be8c1570f96b3a7ca3e0361e9aeee24e1e1e1ec9937d9e5616,['0x06cc7ba9714b80f1a29bca09aa6ccade2eb23b8416a526ffacfa71fb94bb392d'],True,2026-09-06 10:12:51
1788686100,Up,0.92,5.38,4.9496,0.93,5.38,5.4,0xd3d385c66ae7fb29afcc3f38eef14c08c4d14d479d99736b5375e496e5c2b77f,['0x276f6d05adb49d67f100b771505d7ebfb5a76f2a1bcbbc8f063f6bbd3e2216ca'],True,2026-09-06 10:17:15
1788686400,Up,0.96,5.21,5.0016,0.96,5.21,6.6,0x0d33c03ce062df02f9fae45b6a40fd2e44005425800f55954d47f0d5fe920556,['0xde88ae57b701ee61d99c9334853888046eab9a3837d2ecb4bdc867d0b05fbbf0'],True,2026-09-06 10:23:20
1788686700,Up,0.95,5.26,4.997,0.95,5.26,5.0,0x61eeea6b4c5357c87026ba066d1b5b482f1b835ddece0689f33259851e4acdb4,['0x81af718d3cb73399c5745a973dee3e6dec7bc34e4fa7bebb633bdf7429af53e5'],True,2026-09-06 10:28:26
1788687300,Down,0.92,8.7,8.004,0.92,8.7,5.4,0x4be43c6121b7f33f166d8ed44ee4b673f77e2a7767443031c925576521e3fceb,['0xae6b795c356931574568dc232bdb6591063c4d2427925500c6164653b5181657'],True,2026-09-06 10:36:17
1788687600,Down,0.9,8.89,8.001,0.9,8.89,6.5,0xba945cb88cf77a0ec728c36892459bed21d569ae4e79a27f740678e94e37cea8,['0x76c5559dffad74365743e6c5f08a69b55ca413754e96adb6a37ad54f58d17fef'],True,2026-09-06 10:42:20
1788687900,Down,0.99,8.08,7.9992,0.99,8.08,5.8,0xe9c76b5e4179cf15da8a6b605c76d84f8275b983429413b2ae6c55474fb6378d,['0x3e0226297ed4dc1df5ab27c4bd792020bdb16c1853d6bfbbb0afb43a31c11832'],True,2026-09-06 10:49:38
1788688200,Up,0.87,8.6,7.482,0.93,8.6,6.1,0xd2a0e8d194c20afde780e4761855cf0fd169a663cad8c3d33fa42b760d2516cc,['0xe50ad13e70acdb8981b6a7efb441473f5cb5d74aefa34edad9c390408945f939'],True,2026-09-06 10:53:48
1788688500,Up,0.97,8.25,8.0025,,,5.2,0x3ccb2a2f4552f8524d401910fe112f7c3725bd2a4dfd0dd1c80d4e16c8dc953d,,True,2026-09-06 10:59:10
1788688800,Up,0.92,8.7,8.004,,,6.6,0x53a743057b56d9c99c7956e668e43ac5934af96e4d7206b66c307e85ac099413,['0x746cdbc7faa2e1e05cde01af2122a92008d04d5841cdc3242f8060767adfae38'],True,2026-09-06 11:02:22
