2026-09-05 20:46:48 watchdog: not running, starting a new instance
2026-09-05 21:29:01 watchdog: not running, starting a new instance
2026-09-05 21:29:47 watchdog: not running, starting a new instance
2026-09-06 00:06:01 watchdog: not running, starting a new instance
2026-09-06 00:11:01 watchdog: not running, starting a new instance
2026-09-06 00:16:01 watchdog: not running, starting a new instance
2026-09-06 00:21:01 watchdog: not running, starting a new instance
2026-09-06 00:26:01 watchdog: not running, starting a new instance
2026-09-06 00:31:01 watchdog: not running, starting a new instance
2026-09-06 00:36:01 watchdog: not running, starting a new instance
2026-09-06 00:41:01 watchdog: not running, starting a new instance
2026-09-06 00:46:01 watchdog: not running, starting a new instance
2026-09-06 00:51:01 watchdog: not running, starting a new instance
2026-09-06 00:56:01 watchdog: not running, starting a new instance
2026-09-06 01:01:01 watchdog: not running, starting a new instance
2026-09-06 01:06:01 watchdog: not running, starting a new instance
2026-09-06 01:11:01 watchdog: not running, starting a new instance
2026-09-06 01:16:01 watchdog: not running, starting a new instance
2026-09-06 01:21:01 watchdog: not running, starting a new instance
2026-09-06 01:26:01 watchdog: not running, starting a new instance
2026-09-06 01:31:01 watchdog: not running, starting a new instance
2026-09-06 01:36:01 watchdog: not running, starting a new instance
2026-09-06 01:41:02 watchdog: not running, starting a new instance
2026-09-06 01:46:02 watchdog: not running, starting a new instance
2026-09-06 01:51:01 watchdog: not running, starting a new instance
2026-09-06 01:56:01 watchdog: not running, starting a new instance
2026-09-06 02:01:02 watchdog: not running, starting a new instance
2026-09-06 02:06:02 watchdog: not running, starting a new instance
2026-09-06 02:11:02 watchdog: not running, starting a new instance
2026-09-06 02:16:02 watchdog: not running, starting a new instance
2026-09-06 02:21:02 watchdog: not running, starting a new instance
2026-09-06 02:26:02 watchdog: not running, starting a new instance
2026-09-06 02:31:02 watchdog: not running, starting a new instance
2026-09-06 02:36:02 watchdog: not running, starting a new instance
2026-09-06 02:41:02 watchdog: not running, starting a new instance
2026-09-06 02:46:02 watchdog: not running, starting a new instance
2026-09-06 02:51:02 watchdog: not running, starting a new instance
