bucket,n,wins,win_rate,implied_mid,edge,ci_lo,ci_hi
0.45,33,18,0.5454545454545454,0.47500000000000003,0.07045454545454538,0.37556484773442167,0.7153442431746692
0.5,488,259,0.5307377049180327,0.525,0.0057377049180327155,0.48645909669487786,0.5750163131411876
0.55,342,197,0.5760233918128655,0.5750000000000001,0.0010233918128654818,0.5236471869662026,0.6283995966595285
0.6000000000000001,336,213,0.6339285714285714,0.6250000000000001,0.008928571428571286,0.5824188130488883,0.6854383298082545
0.65,372,237,0.6370967741935484,0.675,-0.03790322580645167,0.5882334826399209,0.6859600657471758
0.7000000000000001,404,289,0.7153465346534653,0.7250000000000001,-0.009653465346534773,0.6713435773315798,0.7593494919753508
0.75,396,295,0.7449494949494949,0.775,-0.030050505050505105,0.7020171127107122,0.7878818771882776
0.8,407,342,0.8402948402948403,0.8250000000000001,0.015294840294840184,0.8047043321365629,0.8758853484531176
0.8500000000000001,442,385,0.8710407239819005,0.8750000000000001,-0.0039592760180996445,0.8397950095009362,0.9022864384628647
0.9,500,468,0.936,0.925,0.01100000000000001,0.9145464592013347,0.9574535407986654
0.9500000000000001,301,298,0.9900332225913622,0.9750000000000001,0.015033222591362083,0.9788110979663289,1.0012553472163954
