poll_time,window_end_epoch,secs_left,side,best_ask_price,best_ask_size,best_bid_price,best_bid_size,n_asks,n_bids,is_target_scenario
1788633328.2497487,1788633600,271.8,Up,0.51,287.05,0.5,625.5,49,50,False
1788633328.2497487,1788633600,271.8,Down,0.5,625.5,0.49,287.05,50,49,False
1788633331.6899807,1788633600,268.3,Up,0.51,287.05,0.5,625.5,49,50,False
1788633331.6899807,1788633600,268.3,Down,0.5,625.5,0.49,287.05,50,49,False
1788633334.9466634,1788633600,265.1,Up,0.51,287.05,0.5,625.5,49,50,False
1788633334.9466634,1788633600,265.1,Down,0.5,625.5,0.49,287.05,50,49,False
1788633338.2962701,1788633600,261.7,Up,0.51,287.05,0.5,625.5,49,50,False
1788633338.2962701,1788633600,261.7,Down,0.5,625.5,0.49,287.05,50,49,False
1788633341.4555314,1788633600,258.5,Up,0.51,287.05,0.5,625.5,49,50,False
1788633341.4555314,1788633600,258.5,Down,0.5,625.5,0.49,287.05,50,49,False
1788633344.7039714,1788633600,255.3,Up,0.51,176.39,0.5,625.5,49,50,False
1788633344.7039714,1788633600,255.3,Down,0.5,625.5,0.49,176.39,50,49,False
1788633347.9284334,1788633600,252.1,Up,0.51,176.39,0.5,625.5,49,50,False
1788633347.9284334,1788633600,252.1,Down,0.5,625.5,0.49,176.39,50,49,False
1788633351.2495162,1788633600,248.8,Up,0.51,286.39,0.5,625.5,49,50,False
1788633351.2495162,1788633600,248.8,Down,0.5,625.5,0.49,286.39,50,49,False
1788633354.579239,1788633600,245.4,Up,0.51,286.39,0.5,625.5,49,50,False
1788633354.579239,1788633600,245.4,Down,0.5,625.5,0.49,286.39,50,49,False
1788633357.8953636,1788633600,242.1,Up,0.51,286.39,0.5,625.5,49,50,False
1788633357.8953636,1788633600,242.1,Down,0.5,625.5,0.49,286.39,50,49,False
1788633361.142392,1788633600,238.9,Up,0.51,286.39,0.5,625.5,49,50,False
1788633361.142392,1788633600,238.9,Down,0.5,625.5,0.49,286.39,50,49,False
1788633364.4527564,1788633600,235.5,Up,0.51,286.39,0.5,625.5,49,50,False
1788633364.4527564,1788633600,235.5,Down,0.5,625.5,0.49,286.39,50,49,False
1788633367.7690635,1788633600,232.2,Up,0.51,286.39,0.5,625.5,49,50,False
1788633367.7690635,1788633600,232.2,Down,0.5,625.5,0.49,286.39,50,49,False
1788633371.0238051,1788633600,229.0,Up,0.51,286.39,0.5,625.5,49,50,False
1788633371.0238051,1788633600,229.0,Down,0.5,625.5,0.49,286.39,50,49,False
1788633374.3534594,1788633600,225.6,Up,0.51,286.39,0.5,625.5,49,50,False
1788633374.3534594,1788633600,225.6,Down,0.5,625.5,0.49,286.39,50,49,False
1788633377.5836933,1788633600,222.4,Up,0.51,286.39,0.5,625.5,49,50,False
1788633377.5836933,1788633600,222.4,Down,0.5,625.5,0.49,286.39,50,49,False
1788633380.8390942,1788633600,219.2,Up,0.51,286.39,0.5,625.5,49,50,False
1788633380.8390942,1788633600,219.2,Down,0.5,625.5,0.49,286.39,50,49,False
1788633384.0685234,1788633600,215.9,Up,0.51,286.39,0.5,625.5,49,50,False
1788633384.0685234,1788633600,215.9,Down,0.5,625.5,0.49,286.39,50,49,False
1788633387.381949,1788633600,212.6,Up,0.51,286.39,0.5,625.5,49,50,False
1788633387.381949,1788633600,212.6,Down,0.5,625.5,0.49,286.39,50,49,False
1788633390.634099,1788633600,209.4,Up,0.51,286.39,0.5,625.5,49,50,False
1788633390.634099,1788633600,209.4,Down,0.5,625.5,0.49,286.39,50,49,False
1788633393.9492135,1788633600,206.1,Up,0.51,286.39,0.5,625.5,49,50,False
1788633393.9492135,1788633600,206.1,Down,0.5,625.5,0.49,286.39,50,49,False
1788633397.262348,1788633600,202.7,Up,0.51,176.39,0.5,625.5,49,50,False
1788633397.262348,1788633600,202.7,Down,0.5,625.5,0.49,176.39,50,49,False
1788633400.590598,1788633600,199.4,Up,0.51,176.39,0.5,625.5,49,50,False
1788633400.590598,1788633600,199.4,Down,0.5,625.5,0.49,176.39,50,49,False
1788633403.8264775,1788633600,196.2,Up,0.51,176.39,0.5,625.5,49,50,False
1788633403.8264775,1788633600,196.2,Down,0.5,625.5,0.49,176.39,50,49,False
1788633407.0842352,1788633600,192.9,Up,0.51,176.39,0.5,625.5,49,50,False
1788633407.0842352,1788633600,192.9,Down,0.5,625.5,0.49,176.39,50,49,False
1788633410.3945177,1788633600,189.6,Up,0.51,176.39,0.5,625.5,49,50,False
1788633410.3945177,1788633600,189.6,Down,0.5,625.5,0.49,176.39,50,49,False
1788633413.7357516,1788633600,186.3,Up,0.51,176.39,0.5,625.5,49,50,False
1788633413.7357516,1788633600,186.3,Down,0.5,625.5,0.49,176.39,50,49,False
1788633417.0527787,1788633600,182.9,Up,0.51,176.39,0.5,625.5,49,50,False
1788633417.0527787,1788633600,182.9,Down,0.5,625.5,0.49,176.39,50,49,False
1788633420.3616445,1788633600,179.6,Up,0.51,176.39,0.5,625.5,49,50,False
1788633420.3616445,1788633600,179.6,Down,0.5,625.5,0.49,176.39,50,49,False
1788633423.584546,1788633600,176.4,Up,0.51,176.39,0.5,625.5,49,50,False
1788633423.584546,1788633600,176.4,Down,0.5,625.5,0.49,176.39,50,49,False
1788633426.8312912,1788633600,173.2,Up,0.51,168.39,0.5,625.5,49,50,False
1788633426.8312912,1788633600,173.2,Down,0.5,625.5,0.49,168.39,50,49,False
1788633430.1341748,1788633600,169.9,Up,0.51,168.39,0.5,625.5,49,50,False
1788633430.1341748,1788633600,169.9,Down,0.5,625.5,0.49,168.39,50,49,False
1788633433.4387584,1788633600,166.6,Up,0.51,168.39,0.5,625.5,49,50,False
1788633433.4387584,1788633600,166.6,Down,0.5,625.5,0.49,168.39,50,49,False
1788633436.7532794,1788633600,163.2,Up,0.51,168.39,0.5,625.5,49,50,False
1788633436.7532794,1788633600,163.2,Down,0.5,625.5,0.49,168.39,50,49,False
