secs_before,leading_price,won
30,0.995,True
30,0.995,True
30,0.985,True
60,0.915,True
150,0.965,True
150,0.945,True
150,0.825,True
90,0.965,True
120,0.965,True
30,0.995,True
120,0.825,True
60,0.905,True
60,0.955,True
120,0.675,True
90,0.905,True
60,0.775,True
30,0.995,True
60,0.645,False
120,0.945,True
30,0.995,True
60,0.965,True
60,0.995,True
90,0.955,True
150,0.675,True
150,0.825,True
90,0.855,True
150,0.765,False
150,0.595,True
120,0.825,True
120,0.805,True
30,0.985,True
150,0.7050000000000001,False
90,0.995,True
90,0.645,False
60,0.855,True
150,0.805,True
120,0.7050000000000001,False
60,0.535,True
120,0.595,True
30,0.985,True
30,0.905,True
120,0.765,False
90,0.535,True
60,0.945,True
150,0.735,True
90,0.915,True
90,0.775,True
150,0.735,False
90,0.885,True
30,0.985,True
90,0.755,True
60,0.755,True
60,0.885,True
120,0.595,True
30,0.985,True
120,0.735,False
90,0.945,True
150,0.595,True
150,0.795,False
30,0.995,True
150,0.7050000000000001,True
120,0.735,True
30,0.995,True
60,0.575,True
90,0.925,True
90,0.575,True
120,0.7050000000000001,True
90,0.985,True
60,0.925,True
60,0.685,False
30,0.9975,True
30,0.725,True
120,0.875,False
150,0.875,False
90,0.685,False
30,0.965,True
60,0.985,True
120,0.775,True
120,0.795,False
90,0.996,True
120,0.625,True
150,0.775,True
30,0.995,True
150,0.975,True
60,0.725,True
60,0.996,True
30,0.605,False
90,0.725,True
120,0.975,True
30,0.965,True
150,0.625,True
150,0.825,True
90,0.815,True
30,0.965,True
90,0.625,True
60,0.625,True
60,0.795,True
120,0.645,False
60,0.815,True
30,0.995,True
90,0.965,True
30,0.995,True
120,0.735,True
90,0.795,True
150,0.645,False
120,0.955,True
120,0.895,True
150,0.735,True
60,0.975,True
120,0.825,True
150,0.875,True
60,0.975,True
30,0.995,True
30,0.995,True
60,0.965,True
30,0.935,True
60,0.775,True
90,0.665,True
90,0.975,True
90,0.975,True
120,0.875,True
150,0.895,True
30,0.985,True
150,0.7050000000000001,True
120,0.7050000000000001,True
30,0.985,True
120,0.675,True
150,0.675,True
150,0.955,True
30,0.995,True
120,0.895,True
90,0.985,True
60,0.665,True
120,0.995,True
120,0.695,True
90,0.845,True
90,0.775,True
30,0.985,True
30,0.995,True
120,0.855,True
60,0.985,True
60,0.945,True
120,0.535,True
90,0.945,True
90,0.585,True
30,0.995,True
60,0.845,True
90,0.985,True
150,0.995,True
150,0.535,True
150,0.735,True
150,0.895,True
90,0.925,True
60,0.925,True
90,0.985,True
30,0.995,True
150,0.965,True
120,0.735,True
150,0.805,True
60,0.585,True
150,0.855,True
120,0.805,True
60,0.985,True
120,0.965,True
30,0.995,True
60,0.965,True
60,0.545,True
30,0.975,True
90,0.545,True
150,0.595,True
30,0.995,True
150,0.775,True
90,0.965,True
60,0.985,True
90,0.965,True
60,0.965,True
30,0.975,True
30,0.9995,True
120,0.595,True
120,0.5549999999999999,False
60,0.845,True
150,0.695,True
90,0.845,True
120,0.775,True
60,0.925,True
150,0.5549999999999999,False
150,0.975,True
120,0.975,True
150,0.945,True
