slug,end_s,leading_side,leading_price,won,staleness_s,bucket
btc-updown-5m-1788552300,1788552600,Down,0.825,True,14,0.8
btc-updown-5m-1788549000,1788549300,Down,0.935,True,16,0.9
btc-updown-5m-1788555600,1788555900,Up,0.745,True,18,0.7000000000000001
btc-updown-5m-1788547500,1788547800,Down,0.835,True,17,0.8
btc-updown-5m-1788552000,1788552300,Up,0.905,True,14,0.9
btc-updown-5m-1788549600,1788549900,Up,0.615,True,9,0.6000000000000001
btc-updown-5m-1788548100,1788548400,Down,0.765,False,17,0.75
btc-updown-5m-1788553200,1788553500,Down,0.765,True,5,0.75
btc-updown-5m-1788546900,1788547200,Down,0.945,True,15,0.9
btc-updown-5m-1788546600,1788546900,Up,0.865,True,17,0.8500000000000001
btc-updown-5m-1788551400,1788551700,Down,0.7050000000000001,True,15,0.7000000000000001
btc-updown-5m-1788555000,1788555300,Down,0.915,True,14,0.9
btc-updown-5m-1788550500,1788550800,Down,0.835,True,15,0.8
btc-updown-5m-1788548700,1788549000,Up,0.725,True,21,0.7000000000000001
btc-updown-5m-1788552600,1788552900,Up,0.665,True,14,0.65
btc-updown-5m-1788549900,1788550200,Up,0.635,True,16,0.6000000000000001
btc-updown-5m-1788554700,1788555000,Up,0.645,True,14,0.6000000000000001
btc-updown-5m-1788546300,1788546600,Down,0.765,True,17,0.75
btc-updown-5m-1788549300,1788549600,Up,0.845,True,17,0.8
btc-updown-5m-1788551100,1788551400,Up,0.785,True,16,0.75
btc-updown-5m-1788550200,1788550500,Down,0.975,True,13,0.9500000000000001
btc-updown-5m-1788550800,1788551100,Up,0.715,True,15,0.7000000000000001
btc-updown-5m-1788546000,1788546300,Up,0.865,True,16,0.8500000000000001
btc-updown-5m-1788556200,1788556500,Up,0.835,True,16,0.8
btc-updown-5m-1788552900,1788553200,Up,0.755,True,15,0.75
btc-updown-5m-1788547800,1788548100,Down,0.505,False,16,0.5
btc-updown-5m-1788553800,1788554100,Down,0.735,True,2,0.7000000000000001
btc-updown-5m-1788548400,1788548700,Up,0.965,True,16,0.9500000000000001
btc-updown-5m-1788551700,1788552000,Up,0.985,True,17,0.9500000000000001
btc-updown-5m-1788547200,1788547500,Up,0.915,True,15,0.9
btc-updown-5m-1788557700,1788558000,Down,0.575,False,14,0.55
btc-updown-5m-1788554100,1788554400,Up,0.865,False,3,0.8500000000000001
btc-updown-5m-1788559200,1788559500,Up,0.705,True,15,0.7000000000000001
btc-updown-5m-1788553500,1788553800,Down,0.885,True,5,0.8500000000000001
btc-updown-5m-1788555900,1788556200,Up,0.565,True,16,0.55
btc-updown-5m-1788554400,1788554700,Down,0.855,True,16,0.8500000000000001
btc-updown-5m-1788555300,1788555600,Down,0.735,True,14,0.7000000000000001
btc-updown-5m-1788559500,1788559800,Down,0.7050000000000001,True,15,0.7000000000000001
btc-updown-5m-1788558600,1788558900,Up,0.725,False,16,0.7000000000000001
btc-updown-5m-1788556500,1788556800,Up,0.825,True,15,0.8
btc-updown-5m-1788559800,1788560100,Up,0.515,True,16,0.5
btc-updown-5m-1788557400,1788557700,Up,0.825,True,2,0.8
btc-updown-5m-1788556800,1788557100,Up,0.565,False,15,0.55
btc-updown-5m-1788560100,1788560400,Up,0.575,True,6,0.55
btc-updown-5m-1788557100,1788557400,Down,0.7050000000000001,True,14,0.7000000000000001
btc-updown-5m-1788558000,1788558300,Down,0.575,True,15,0.55
btc-updown-5m-1788560400,1788560700,Down,0.645,True,13,0.6000000000000001
btc-updown-5m-1788561300,1788561600,Up,0.725,True,16,0.7000000000000001
btc-updown-5m-1788561900,1788562200,Down,0.615,True,16,0.6000000000000001
btc-updown-5m-1788558900,1788559200,Up,0.785,True,15,0.75
btc-updown-5m-1788560700,1788561000,Down,0.795,True,17,0.75
btc-updown-5m-1788561600,1788561900,Down,0.615,True,1,0.6000000000000001
btc-updown-5m-1788558300,1788558600,Up,0.655,False,16,0.65
btc-updown-5m-1788562800,1788563100,Down,0.765,False,16,0.75
btc-updown-5m-1788563400,1788563700,Up,0.575,False,1,0.55
btc-updown-5m-1788561000,1788561300,Up,0.665,False,15,0.65
btc-updown-5m-1788564000,1788564300,Up,0.965,True,3,0.9500000000000001
btc-updown-5m-1788562500,1788562800,Up,0.555,False,15,0.55
btc-updown-5m-1788563700,1788564000,Up,0.535,True,16,0.5
btc-updown-5m-1788563100,1788563400,Up,0.615,True,15,0.6000000000000001
btc-updown-5m-1788567600,1788567900,Up,0.695,True,2,0.65
btc-updown-5m-1788562200,1788562500,Up,0.685,True,15,0.65
btc-updown-5m-1788564600,1788564900,Down,0.925,True,18,0.9
btc-updown-5m-1788565800,1788566100,Down,0.635,True,16,0.6000000000000001
btc-updown-5m-1788567000,1788567300,Up,0.975,True,4,0.9500000000000001
btc-updown-5m-1788564900,1788565200,Up,0.505,False,15,0.5
btc-updown-5m-1788567900,1788568200,Up,0.835,True,13,0.8
btc-updown-5m-1788566100,1788566400,Up,0.965,True,16,0.9500000000000001
btc-updown-5m-1788568200,1788568500,Up,0.945,True,16,0.9
btc-updown-5m-1788565500,1788565800,Down,0.755,True,16,0.75
btc-updown-5m-1788566700,1788567000,Down,0.905,True,16,0.9
btc-updown-5m-1788566400,1788566700,Down,0.8049999999999999,True,16,0.8
btc-updown-5m-1788564300,1788564600,Up,0.875,True,13,0.8500000000000001
btc-updown-5m-1788567300,1788567600,Down,0.975,True,17,0.9500000000000001
btc-updown-5m-1788565200,1788565500,Down,0.515,True,14,0.5
btc-updown-5m-1788570000,1788570300,Up,0.725,True,15,0.7000000000000001
btc-updown-5m-1788570600,1788570900,Up,0.615,True,4,0.6000000000000001
btc-updown-5m-1788568800,1788569100,Up,0.805,True,19,0.8
btc-updown-5m-1788569400,1788569700,Up,0.905,True,17,0.9
btc-updown-5m-1788569100,1788569400,Down,0.965,True,12,0.9500000000000001
btc-updown-5m-1788570300,1788570600,Down,0.595,False,6,0.55
btc-updown-5m-1788571500,1788571800,Down,0.885,True,16,0.8500000000000001
btc-updown-5m-1788571800,1788572100,Up,0.905,True,15,0.9
btc-updown-5m-1788573000,1788573300,Down,0.645,True,17,0.6000000000000001
btc-updown-5m-1788572400,1788572700,Up,0.945,True,15,0.9
btc-updown-5m-1788568500,1788568800,Up,0.625,False,17,0.6000000000000001
btc-updown-5m-1788573600,1788573900,Down,0.875,True,16,0.8500000000000001
btc-updown-5m-1788569700,1788570000,Down,0.845,True,16,0.8
btc-updown-5m-1788574800,1788575100,Up,0.515,True,17,0.5
btc-updown-5m-1788573900,1788574200,Up,0.835,True,15,0.8
btc-updown-5m-1788575100,1788575400,Up,0.685,False,14,0.65
btc-updown-5m-1788572100,1788572400,Down,0.935,True,15,0.9
btc-updown-5m-1788571200,1788571500,Down,0.595,True,21,0.55
btc-updown-5m-1788573300,1788573600,Down,0.845,True,19,0.8
btc-updown-5m-1788572700,1788573000,Up,0.855,False,16,0.8500000000000001
btc-updown-5m-1788570900,1788571200,Up,0.675,True,17,0.65
btc-updown-5m-1788574200,1788574500,Up,0.805,True,9,0.8
btc-updown-5m-1788576300,1788576600,Down,0.955,True,17,0.9500000000000001
btc-updown-5m-1788575700,1788576000,Up,0.885,True,16,0.8500000000000001
btc-updown-5m-1788576900,1788577200,Up,0.705,True,12,0.7000000000000001
btc-updown-5m-1788582000,1788582300,Up,0.515,True,18,0.5
btc-updown-5m-1788578100,1788578400,Up,0.905,True,18,0.9
btc-updown-5m-1788574500,1788574800,Up,0.565,True,16,0.55
btc-updown-5m-1788577200,1788577500,Up,0.605,False,17,0.6000000000000001
btc-updown-5m-1788579300,1788579600,Up,0.725,True,18,0.7000000000000001
btc-updown-5m-1788577500,1788577800,Down,0.525,True,18,0.5
btc-updown-5m-1788576600,1788576900,Down,0.685,True,21,0.65
btc-updown-5m-1788576000,1788576300,Up,0.915,True,15,0.9
btc-updown-5m-1788580200,1788580500,Down,0.845,True,16,0.8
