leading_price,won
0.995,True
0.985,True
0.995,True
0.6,True
0.9995,True
0.995,True
0.995,True
0.95,True
0.775,True
0.875,True
0.995,True
0.5449999999999999,True
0.975,True
0.585,True
0.975,True
0.955,True
0.995,True
0.995,True
0.5449999999999999,True
0.97,True
0.99,True
0.995,True
0.705,True
0.985,True
0.995,True
0.995,True
0.97,True
0.945,True
0.975,True
0.995,True
0.995,True
0.965,True
0.51,True
0.995,True
0.985,True
0.985,True
0.985,True
0.815,True
0.995,True
0.995,True
0.975,True
0.995,True
0.835,True
0.995,True
0.995,True
0.845,True
0.985,True
0.9975,True
0.965,True
0.995,True
0.9995,True
0.94,True
0.9995,True
0.9995,True
0.99,True
0.965,True
0.985,True
0.98,True
0.975,True
0.8200000000000001,True
0.9995,True
0.685,True
0.555,True
0.935,True
0.985,True
0.995,True
0.94,True
0.995,True
0.9299999999999999,True
0.975,True
0.88,True
0.8200000000000001,True
0.985,True
0.975,False
0.995,True
0.905,False
0.995,True
0.945,True
0.985,True
0.81,False
0.905,True
0.995,True
0.995,True
0.975,True
0.995,True
0.995,True
0.995,True
0.995,True
0.73,True
0.84,False
0.995,True
0.98,True
0.995,True
0.925,True
0.97,True
0.575,True
0.995,True
0.985,True
0.745,True
0.995,True
0.995,True
0.9995,True
0.875,True
0.975,True
0.995,True
0.995,True
0.565,False
0.695,True
0.98,True
0.99,True
0.51,False
0.995,True
0.735,True
0.945,True
0.985,True
0.875,True
0.9995,True
0.96,True
0.995,True
0.73,True
0.995,True
0.9995,True
0.995,True
0.665,True
0.975,True
0.869,True
0.995,True
0.775,True
0.97,True
0.835,True
0.995,True
0.995,True
0.955,True
0.94,True
0.51,True
0.905,False
0.915,True
0.995,True
0.745,True
0.995,True
0.75,True
0.835,False
0.835,True
0.97,True
0.935,True
0.945,True
0.935,True
0.995,True
0.995,True
0.985,True
0.995,True
0.995,True
0.995,True
0.81,True
0.995,True
0.53,True
0.995,True
0.72,False
0.975,True
0.985,True
0.995,True
0.995,True
0.995,True
0.975,True
0.995,True
0.995,True
0.995,True
0.95,True
0.905,True
0.945,True
0.96,True
0.955,True
0.715,False
0.71,True
0.96,False
0.995,True
0.995,True
0.995,True
0.655,True
0.995,True
0.945,True
0.895,True
0.97,True
0.995,True
0.995,True
0.995,True
0.5900000000000001,True
0.985,True
0.995,True
0.995,True
0.685,True
0.9995,True
0.86,True
0.995,True
0.995,True
0.985,True
0.93,True
0.995,True
0.995,True
0.995,True
0.995,True
0.97,True
0.97,True
0.99,True
0.665,False
0.995,True
0.985,True
0.995,True
0.965,True
0.9995,True
0.883,True
0.995,True
0.825,True
0.995,True
0.995,True
0.995,True
0.9995,True
0.995,True
0.995,True
0.995,True
0.995,True
0.95,True
0.725,True
0.955,True
0.995,True
0.985,True
0.965,True
0.9995,True
0.87,True
0.995,True
0.96,True
0.995,True
0.995,True
0.945,True
0.9995,True
0.905,True
0.9995,True
0.985,True
0.995,True
0.945,True
0.91,False
0.995,True
0.975,True
0.855,False
0.985,True
0.995,True
0.995,True
0.61,True
0.995,True
0.995,True
0.765,True
0.9995,True
0.995,True
0.985,True
0.9995,True
0.995,True
0.96,True
0.5449999999999999,True
0.945,True
0.995,True
0.76,True
0.995,True
0.7150000000000001,True
0.9995,True
0.99,True
0.995,True
0.795,False
0.995,True
0.995,True
0.995,True
0.935,True
0.9995,True
0.83,True
0.9995,True
0.64,True
0.985,True
0.995,True
0.995,True
0.985,True
0.995,True
0.995,True
0.9995,True
0.995,True
0.9995,True
0.52,True
0.995,True
0.75,True
0.995,True
0.675,True
0.87,False
0.9995,True
0.93,True
0.705,True
0.995,True
0.9995,True
0.89,True
0.98,True
0.985,True
0.975,True
0.98,True
0.9995,True
0.91,True
0.935,True
0.84,True
0.995,True
0.95,True
0.995,True
0.995,True
0.875,True
0.995,True
0.95,True
0.845,True
0.66,True
0.77,True
0.995,True
0.995,True
0.96,True
0.975,True
0.965,True
0.995,True
0.995,True
0.73,False
0.72,True
0.995,True
0.685,False
0.995,True
0.985,True
0.995,True
0.985,True
0.985,True
0.995,True
0.935,True
0.995,True
0.9995,True
0.995,True
0.975,True
0.695,False
0.995,True
0.9995,True
0.995,True
0.81,True
0.93,True
0.985,True
0.995,True
0.96,True
0.985,True
0.995,True
0.985,True
0.995,True
0.835,True
0.565,False
0.9995,True
0.745,True
0.995,True
0.965,True
0.98,True
0.975,True
0.9995,True
0.995,True
0.655,True
0.995,True
0.995,True
0.89,True
0.995,True
0.98,True
0.91,True
0.955,True
0.97,True
0.995,True
0.95,True
0.995,True
0.87,True
0.995,True
0.985,True
0.995,True
0.995,True
0.995,True
0.69,True
0.96,True
0.945,True
0.625,False
0.995,True
0.84,True
0.995,True
0.96,True
0.96,True
0.9299999999999999,True
0.915,True
0.935,True
0.995,True
0.945,True
0.97,True
0.995,True
0.975,True
0.995,True
0.975,True
0.955,True
0.96,True
0.68,False
0.965,False
0.995,True
0.995,True
0.92,True
0.995,True
0.9995,True
0.995,True
0.945,True
0.995,True
0.675,True
0.985,True
0.995,True
0.98,True
0.95,True
0.97,True
0.73,True
0.9975,True
0.81,True
0.996,True
0.52,True
0.995,True
0.995,True
0.985,False
0.73,True
0.5,False
0.985,True
0.995,True
0.995,True
0.9945,True
0.95,True
0.97,True
0.985,True
0.995,True
0.895,True
0.995,True
0.995,True
0.765,True
0.9995,True
0.955,True
0.9955,True
0.98,True
0.925,True
0.965,True
0.995,True
0.995,True
0.885,True
0.975,True
0.61,True
0.98,True
0.995,True
0.825,True
0.995,True
0.995,True
0.955,True
0.98,True
0.5800000000000001,True
0.995,True
0.995,True
0.91,True
0.985,True
0.985,True
0.995,True
0.9,True
0.72,True
0.915,True
0.995,True
0.945,True
0.98,True
0.995,True
0.995,True
0.995,True
0.925,False
0.995,True
0.71,True
0.975,True
0.995,True
0.995,True
0.775,True
0.995,True
0.995,True
0.74,True
0.945,True
0.995,True
0.745,False
0.945,True
0.995,True
0.885,True
0.855,False
0.995,True
0.995,True
0.975,True
0.945,False
0.975,True
0.985,True
0.998,True
0.845,False
0.895,False
0.905,True
0.565,True
0.955,True
0.985,True
0.945,True
0.995,True
0.995,True
0.585,False
0.86,False
0.995,True
0.575,True
0.995,True
0.965,True
0.985,True
0.915,True
0.975,True
0.9995,True
0.995,True
0.62,False
0.995,True
0.855,True
0.995,True
0.745,True
0.955,True
0.89,True
0.83,True
0.955,True
0.645,False
0.995,True
0.96,True
0.9995,True
0.87,True
0.75,True
0.985,True
0.815,True
0.955,True
0.995,True
0.83,False
0.845,True
0.855,True
0.95,True
0.54,False
0.995,True
0.995,True
0.995,True
0.985,True
0.995,True
0.995,True
0.975,True
0.98,True
0.995,True
0.8049999999999999,True
0.995,True
0.97,True
0.975,True
0.96,True
0.63,False
0.995,True
0.975,True
0.995,True
0.995,True
0.995,True
0.59,False
0.89,True
0.975,True
0.995,True
0.98,True
0.995,True
0.995,True
0.65,True
0.96,True
0.865,True
0.995,True
0.995,True
0.73,True
0.84,True
0.995,True
0.54,True
0.86,True
0.86,True
0.95,True
0.975,True
0.775,True
0.9975,True
0.985,True
0.975,True
0.975,True
0.995,True
0.995,True
0.995,True
0.9995,True
0.995,True
0.995,True
0.655,False
0.995,True
0.8765000000000001,True
0.95,True
0.985,True
0.975,True
0.935,True
0.995,True
0.995,True
0.925,True
0.995,True
0.995,True
0.995,True
0.585,True
0.9995,True
0.95,True
0.995,True
0.995,True
0.995,True
0.995,True
0.995,True
0.515,True
0.995,True
0.5,True
0.5,False
0.995,True
0.995,True
0.975,True
0.995,True
0.995,True
0.995,True
0.98,True
0.895,True
0.72,True
0.995,True
0.94,True
0.98,True
0.9945,True
0.925,True
0.995,True
0.965,True
0.97,True
0.53,False
0.995,True
0.994,True
0.995,True
0.995,True
0.995,True
0.775,False
0.9995,True
0.79,False
0.75,True
0.765,False
0.885,True
0.9995,True
0.99,True
0.995,True
0.875,True
0.91,True
0.9995,True
0.935,True
0.9995,True
0.995,True
0.65,True
0.9299999999999999,True
0.995,True
0.645,True
0.945,True
0.975,True
0.985,True
0.5,True
0.5,False
0.995,True
0.5,True
0.5,True
0.82,True
0.505,False
0.5,True
0.5,False
0.945,True
0.5,False
0.5,False
0.5,True
0.5,True
0.5,False
0.5700000000000001,True
0.975,True
0.5,True
0.5,False
0.5,True
0.625,True
0.5,True
0.985,True
0.72,True
0.5,False
0.505,True
0.5,False
0.5,False
0.995,True
0.5,True
0.5,True
0.91,True
0.995,True
0.63,False
0.5,False
0.5,True
0.5,False
0.5,True
0.5,False
0.995,True
0.985,True
0.5,True
0.8,False
0.95,True
0.955,True
0.995,True
0.995,True
0.955,True
0.995,True
0.995,True
0.655,True
0.9995,True
0.9299999999999999,True
0.5900000000000001,False
0.995,True
0.5,True
0.995,True
0.75,True
0.995,True
0.995,True
0.995,True
0.9995,True
0.955,False
0.5,True
0.995,True
0.5,False
0.995,True
0.5,True
0.5,True
0.715,True
0.925,True
0.965,True
0.995,True
0.93,True
0.995,True
0.715,True
0.995,True
0.95,True
0.835,True
0.995,True
0.86,True
0.95,True
0.995,True
0.995,True
0.685,False
0.5,True
0.995,True
0.965,True
0.6,True
0.995,True
0.995,True
0.9995,True
0.965,True
0.875,True
0.5,False
0.775,True
0.905,True
0.97,True
0.81,False
0.985,True
0.995,True
0.995,True
0.995,True
0.995,True
0.96,True
0.92,True
0.995,True
0.995,True
0.5,True
0.97,True
0.9995,True
0.995,True
0.985,True
0.995,True
0.885,True
0.995,True
0.9995,True
0.905,True
0.995,True
0.995,True
0.56,True
0.565,False
0.985,True
0.935,True
0.9805,True
0.995,True
0.8049999999999999,True
0.995,True
0.96,True
0.995,True
0.95,True
0.995,True
0.96,True
0.995,True
0.995,True
0.995,True
0.76,True
0.995,True
0.6950000000000001,True
0.535,True
0.9995,True
0.5,False
0.88,True
0.985,True
0.995,True
0.995,True
0.995,True
0.905,True
0.915,True
0.995,True
0.995,True
0.9995,True
0.995,True
0.995,True
0.975,True
0.995,True
0.995,True
0.95,True
0.995,True
0.835,True
0.985,True
0.985,True
0.98,True
0.79,True
0.995,True
0.7050000000000001,True
0.88,True
0.96,True
0.995,True
0.995,True
0.925,True
0.655,True
0.94,True
0.59,False
0.995,True
0.995,True
0.995,True
0.92,True
0.995,True
0.9995,True
0.945,True
0.9995,True
0.9995,True
0.995,True
0.995,True
0.94,True
0.9299999999999999,True
0.98,True
0.995,True
0.98,True
0.83,False
0.97,True
0.975,True
0.935,True
0.995,True
0.99,True
0.745,True
0.995,True
0.625,False
0.97,True
0.985,True
0.77,False
0.995,True
0.81,True
0.995,True
0.54,False
0.965,True
0.91,True
0.815,False
0.995,True
0.625,True
0.995,True
0.995,True
0.9995,True
0.745,False
0.785,True
0.995,True
0.975,True
0.995,True
0.995,True
0.995,True
0.675,True
0.92,True
0.99,True
0.98,True
0.975,True
0.89,True
0.585,True
0.985,True
0.995,True
0.9995,True
0.825,True
0.86,True
0.9995,True
0.9995,True
0.9995,True
0.995,True
0.775,True
0.995,True
0.995,True
0.98,True
0.98,True
0.995,True
0.9995,True
0.995,True
0.79,True
0.995,True
0.815,False
0.655,True
0.995,True
0.505,True
0.5349999999999999,True
0.54,False
0.995,True
0.65,True
0.995,True
0.995,True
0.995,True
0.98,True
0.995,True
0.995,True
0.995,True
0.955,True
0.52,True
0.7,True
0.62,False
0.9,True
0.995,True
0.995,True
0.995,True
0.56,False
0.995,True
0.995,True
0.995,True
0.93,True
0.995,True
0.955,True
0.995,True
0.97,True
0.995,True
0.92,True
0.995,True
0.995,True
0.995,True
0.995,True
0.98,True
0.865,True
0.995,True
0.695,True
0.9,True
0.995,True
0.965,True
0.6599999999999999,True
0.965,True
0.995,True
0.96,True
0.975,True
0.99,True
0.5800000000000001,True
0.995,True
0.995,True
0.51,False
0.97,True
0.975,True
0.96,True
0.995,True
0.995,True
0.985,True
0.945,True
0.995,True
0.9995,True
0.92,True
0.995,True
0.995,True
0.76,True
0.885,False
0.695,True
0.675,False
0.995,True
0.615,True
0.995,True
0.84,True
0.995,True
0.9995,True
0.995,True
0.995,True
0.94,True
0.965,True
0.9995,True
0.94,True
0.995,True
0.7,True
0.89,False
0.915,True
0.995,True
0.995,True
0.965,True
0.98,True
0.995,True
0.995,True
0.94,True
0.995,True
0.77,True
0.9995,True
0.995,True
0.995,True
0.995,True
0.985,True
0.995,True
0.995,True
0.995,True
0.5349999999999999,False
0.995,True
0.98,True
0.55,True
0.98,True
0.995,True
0.955,True
0.995,True
0.995,True
0.99,True
0.995,True
0.605,False
0.99,True
0.995,True
0.995,True
0.975,True
0.9995,True
0.89,True
0.995,True
0.9995,True
0.975,True
0.995,True
0.695,True
0.995,True
0.665,False
0.88,True
0.995,True
0.995,True
0.815,True
0.9995,True
0.965,True
0.995,True
0.995,True
0.995,True
0.9299999999999999,True
0.995,True
0.9995,True
0.88,True
0.97,True
0.995,True
0.745,False
0.995,True
0.995,True
0.9995,True
0.525,True
0.995,True
0.64,False
0.995,True
0.78,True
0.935,True
0.97,True
0.96,True
0.92,True
0.8,True
0.5349999999999999,True
0.86,True
0.9995,True
0.9299999999999999,False
0.995,True
0.515,False
0.94,True
0.98,True
0.9995,True
0.975,True
0.835,False
0.9995,True
0.965,True
0.925,True
0.995,True
0.995,True
0.995,True
0.995,True
0.995,True
0.995,True
0.97,True
0.98,True
0.97,True
0.97,True
0.9995,True
0.98,True
0.97,True
0.995,True
0.915,True
0.63,True
0.995,True
0.78,True
0.995,True
0.99,True
0.97,True
0.95,True
0.545,True
0.655,True
0.995,True
0.995,True
0.815,True
0.925,True
0.905,True
0.805,True
0.6599999999999999,True
0.985,True
0.9995,True
0.995,True
0.995,True
0.9995,True
