secs_before,threshold,is_n,is_net,oos_n,oos_net
30,0.85,3188,0.004304611041405522,3107,0.007213591889282495
30,0.88,3099,0.004697789609551601,2969,0.008496071067699545
30,0.9,3014,0.00392206370272078,2853,0.006781890991938409
30,0.92,2907,0.0033840041279671407,2738,0.00539672936449966
30,0.95,2701,0.0032023880044430896,2442,0.0058128828828829466
60,0.85,2127,0.0032751810061118457,2094,-0.00315482808022911
60,0.88,1912,0.001627907949790907,1863,-0.0035845464304883673
60,0.9,1751,0.00095117647058842,1667,-0.0022061547690461515
60,0.92,1559,0.004239294419499794,1463,-0.0025363021189336783
60,0.95,1159,0.007641811906816182,1066,-0.0004341557223263904
80,0.85,2122,0.003585419415645607,2094,-0.003154828080229221
80,0.88,1908,0.002038448637316739,1863,-0.0035845464304883673
80,0.9,1747,0.0013980022896394203,1667,-0.002206154769046151
80,0.92,1557,0.004202928709056033,1463,-0.0025363021189336783
80,0.95,1158,0.007636364421416169,1066,-0.0004341557223263902
90,0.85,2117,0.0035453448275861374,2094,-0.0030748853868194552
90,0.88,1903,0.002534837099316892,1862,-0.0035639957035446122
90,0.9,1743,0.0019986775674124546,1666,-0.002187941176470467
90,0.92,1552,0.004198192654639147,1462,-0.002515772913816464
90,0.95,1154,0.007682577989601423,1064,-0.0004524530075187528
110,0.85,1299,-0.0013447729022324243,1474,-0.002858744911804615
110,0.88,1031,0.006298874878758507,1201,-0.0011894171523729909
110,0.9,852,0.006082676056337968,1012,0.0013370158102766752
110,0.92,634,0.006229952681388019,830,0.00015537349397586487
110,0.95,356,0.014777921348314804,496,0.0006169556451614321
120,0.85,1250,0.002734399999999932,1207,-0.005476304888152515
120,0.88,986,0.010286612576064866,900,-0.0066411666666666095
120,0.9,808,0.011096225247524724,728,-0.0034380494505493863
120,0.92,592,0.008285726351351292,548,-0.0009447992700731414
120,0.95,303,0.018167821782178382,254,0.0036188976377953346
150,0.85,1243,0.002312107803700666,1205,-0.005655186721991836
150,0.88,981,0.0100309378185526,899,-0.006726140155728576
150,0.9,803,0.010788916562889314,727,-0.003538720770288905
150,0.92,589,0.008098981324278541,547,-0.0010740402193784322
150,0.95,301,0.01807225913621283,254,0.0036188976377955566
180,0.85,378,-0.023317328042328007,382,0.013051308900523433
180,0.88,236,-0.03326822033898291,223,0.004212780269058373
180,0.9,148,-0.05284560810810808,123,0.037494308943089395
180,0.92,80,,62,
180,0.95,19,,10,
210,0.85,374,-0.024511631016042774,379,0.012332585751978986
210,0.88,233,-0.03471437768240336,220,0.002854090909090933
210,0.9,146,-0.05446130136986304,123,0.037494308943089395
210,0.92,79,,62,
210,0.95,19,,10,
240,0.85,8,,3,
240,0.88,2,,0,
240,0.9,1,,0,
240,0.92,0,,0,
240,0.95,0,,0,
270,0.85,8,,2,
270,0.88,2,,0,
270,0.9,1,,0,
270,0.92,0,,0,
270,0.95,0,,0,
