sample,window_end,side,price,won,trend_12,trend_24,trend_36
in_sample,1788006900,Down,0.992,True,Down,,Down
in_sample,1787822700,Up,0.999,True,Up,Up,Up
in_sample,1788585300,Up,0.999,True,Down,Up,Up
in_sample,1788028200,Down,0.9541518387,True,,Up,Up
in_sample,1788576900,Down,0.9099999991,True,Up,Up,Up
in_sample,1788582900,Down,0.92,True,Up,Up,Up
in_sample,1788302400,Up,0.93,True,,Down,Down
in_sample,1787889600,Down,0.9499999064,True,,Down,
in_sample,1788329100,Up,0.9099995859,True,Up,Up,Up
in_sample,1788488400,Down,0.96,True,Down,Down,Down
in_sample,1787777100,Up,0.99,True,,Down,Down
in_sample,1788578700,Up,0.95,True,Up,,Up
in_sample,1787698200,Up,0.99,True,,Down,Down
in_sample,1787903700,Down,0.96,True,Down,,Up
in_sample,1788510300,Up,0.9299997768,True,Down,Down,Down
in_sample,1788296700,Down,0.93,True,,Up,Up
in_sample,1788480300,Down,0.99,True,,Down,Down
in_sample,1788499200,Up,0.99,True,,Up,Up
in_sample,1787789700,Down,0.98,True,Up,Up,Up
in_sample,1788026400,Up,0.99,True,Down,Up,Up
in_sample,1788366000,Up,0.9799267076,True,Up,,
in_sample,1787957700,Down,0.9199999936,True,Up,Up,Up
in_sample,1788298800,Up,0.92,True,Down,Down,
in_sample,1788061500,Up,0.95,True,Up,Up,
in_sample,1788198000,Up,0.98,True,,Down,
in_sample,1788444900,Up,0.95,True,Up,Up,Up
in_sample,1788006600,Up,0.99,True,Down,Down,Down
in_sample,1787635800,Up,0.99,True,Up,,Down
in_sample,1787541000,Down,0.99,True,Up,Down,Down
in_sample,1788544800,Up,0.9699999961,True,Down,Down,Up
in_sample,1788554100,Down,0.91,True,,Up,Up
in_sample,1787853000,Down,0.9399999981,True,Down,Down,Down
in_sample,1787888100,Down,0.94,True,Up,Down,Up
in_sample,1787849100,Up,0.99,True,,,Up
in_sample,1788369900,Up,0.95,True,Down,,Down
in_sample,1788396600,Up,0.95,True,,,Down
in_sample,1788029100,Down,0.99,True,Up,Up,Up
in_sample,1787640300,Down,0.96,True,,Up,
in_sample,1788369600,Down,0.98,True,Down,Up,Down
in_sample,1788498900,Down,0.98,True,Up,Up,Up
in_sample,1788391500,Up,0.94,True,Up,,
in_sample,1788292500,Down,0.99,True,Up,,Down
in_sample,1787751000,Down,0.99,True,Down,Down,
in_sample,1788123600,Down,0.99,True,,Down,Down
in_sample,1787569200,Up,0.99,True,Up,Up,Up
in_sample,1787476200,Up,0.9599998796,True,Up,Up,Up
in_sample,1788487200,Up,0.91,False,,Down,Down
in_sample,1788273600,Up,0.99,True,Up,Down,Down
in_sample,1787905800,Down,0.95,True,,Up,Up
in_sample,1788149400,Up,0.97,True,,Down,Down
in_sample,1787514300,Up,0.96,True,,Down,
in_sample,1788277800,Up,0.98,True,Up,Up,Down
in_sample,1788599400,Down,0.95,True,,Up,
in_sample,1788268800,Down,0.98,True,Down,Down,Down
in_sample,1787756700,Down,0.95,True,Down,Down,Down
in_sample,1788492300,Up,0.9499999747,True,,Down,Down
in_sample,1787995800,Down,0.95,True,Up,Up,Up
in_sample,1788074100,Up,0.9099999992,True,Up,Up,Down
in_sample,1787715000,Down,0.99,True,Down,Down,
in_sample,1788470100,Up,0.99,True,Down,Up,Up
in_sample,1788147600,Up,0.99,True,Down,Down,Down
in_sample,1787433300,Down,0.96,True,Down,Down,Down
in_sample,1788526800,Down,0.9699999975,True,Down,,
in_sample,1788353100,Up,0.9699999992,True,Up,Up,Up
in_sample,1788126900,Up,0.99,True,,,Down
in_sample,1787873400,Down,0.98,True,,Up,
in_sample,1787637300,Down,0.99,True,Up,Up,Down
in_sample,1787684100,Down,0.99,True,Up,Up,Up
in_sample,1787803800,Down,0.99,True,,Down,Down
in_sample,1787531700,Up,0.95,True,Down,Down,Down
in_sample,1787664900,Up,0.99,True,Down,Down,Down
in_sample,1787495700,Down,0.9599996544,True,Down,Up,
in_sample,1788015300,Down,0.96,True,Up,Up,Up
in_sample,1788602400,Down,0.99,True,,Down,
in_sample,1788436800,Up,0.99,True,Up,Up,Down
in_sample,1787560800,Up,0.96,True,Down,Down,Down
in_sample,1788210900,Down,0.9146629307,True,Down,Down,
in_sample,1788066900,Down,0.96,True,Down,Down,Down
in_sample,1788215400,Down,0.92,True,Down,Down,Down
in_sample,1787537700,Up,0.99,True,Down,Down,Down
in_sample,1788631500,Down,0.94,True,Down,Up,Up
in_sample,1787924100,Up,0.99,True,Down,Down,Up
in_sample,1787772300,Down,0.999,True,Down,,Up
