captured_utc,city,market_date,slug,settled,resolved_lo,resolved_hi,best_match,ecmwf_ifs025,gfs_seamless,icon_seamless,ens_mean,ens_sd,ens_lo,ens_hi,ens_n,market_dist,market_mode,market_liquidity
2026-09-08T12:35:14+00:00,london,2026-09-08,highest-temperature-in-london-on-september-8-2026,True,19,19,17.7,17.3,18.4,18.9,17.64,1.155,16.1,20.4,31,<=16:0.001|17:0.001|18:0.001|19:0.96|20:0.060000000000000005|21:0.002|22:0.003|23:0.001|24:0.001|25:0.001|>=26:0.001,19,47476.54648
2026-09-08T12:35:14+00:00,beijing,2026-09-08,highest-temperature-in-beijing-on-september-8-2026,True,25,25,22.4,22.8,23.7,23.2,24.05,0.581,22.8,25.0,31,<=19:0.001|20:0.001|21:0.001|22:0.001|23:0.001|24:0.001|25:0.9995|26:0.001|27:0.001|28:0.001|>=29:0.001,25,175374.35569
2026-09-08T12:35:14+00:00,tokyo,2026-09-08,highest-temperature-in-tokyo-on-september-8-2026,True,29,29,29.1,29.4,29.0,29.6,30.53,0.634,29.5,31.7,31,<=26:0.001|27:0.001|28:0.001|29:0.9995|30:0.001|31:0.001|32:0.001|33:0.001|34:0.001|35:0.001|>=36:0.001,29,72068.24445
2026-09-08T12:35:14+00:00,hong kong,2026-09-08,highest-temperature-in-hong-kong-on-september-8-2026,True,32,32,31.4,31.0,31.6,32.1,32.3,0.312,31.5,33.0,31,<=27:0.001|28:0.001|29:0.001|30:0.001|31:0.001|32:0.9995|33:0.001|34:0.001|35:0.001|36:0.001|>=37:0.001,32,162984.97322
2026-09-08T12:35:15+00:00,shanghai,2026-09-08,highest-temperature-in-shanghai-on-september-8-2026,True,30,30,28.1,30.3,28.5,29.1,28.86,0.289,28.2,29.3,31,<=24:0.001|25:0.001|26:0.001|27:0.001|28:0.001|29:0.001|30:0.9995|31:0.001|32:0.001|33:0.001|>=34:0.001,30,164572.85998
2026-09-08T12:35:15+00:00,seoul (incheon),2026-09-08,highest-temperature-in-seoul-on-september-8-2026,True,27,27,27.3,28.7,27.9,29.5,28.24,0.295,27.7,28.8,31,<=22:0.001|23:0.001|24:0.001|25:0.001|26:0.001|27:0.9995|28:0.001|29:0.001|30:0.001|31:0.001|>=32:0.001,27,163924.62563
2026-09-08T12:35:15+00:00,shenzhen,2026-09-08,highest-temperature-in-shenzhen-on-september-8-2026,True,32,32,33.0,33.0,34.2,33.1,32.47,0.299,32.0,33.2,31,<=28:0.001|29:0.001|30:0.001|31:0.001|32:0.9995|33:0.001|34:0.001|35:0.001|36:0.001|37:0.001|>=38:0.001,32,77687.28289
2026-09-08T12:35:15+00:00,wuhan,2026-09-08,highest-temperature-in-wuhan-on-september-8-2026,True,35,35,34.4,33.6,33.5,34.0,33.41,0.359,32.5,34.0,31,<=28:0.001|29:0.001|30:0.001|31:0.001|32:0.001|33:0.001|34:0.001|35:0.9995|36:0.001|37:0.001|>=38:0.001,35,169698.22828
2026-09-08T12:35:16+00:00,guangzhou,2026-09-08,highest-temperature-in-guangzhou-on-september-8-2026,True,35,35,32.7,32.7,34.7,33.3,34.33,0.302,33.7,34.9,31,<=29:0.001|30:0.001|31:0.001|32:0.001|33:0.001|34:0.001|35:0.9995|36:0.001|37:0.001|38:0.001|>=39:0.001,35,154973.71293
2026-09-08T12:35:16+00:00,chongqing,2026-09-08,highest-temperature-in-chongqing-on-september-8-2026,True,37,37,37.4,36.8,38.3,38.0,36.69,0.341,35.9,37.3,31,<=32:0.001|33:0.001|34:0.001|35:0.001|36:0.001|37:0.9995|38:0.001|39:0.001|40:0.001|41:0.001|>=42:0.001,37,143693.66272
2026-09-08T12:35:16+00:00,busan,2026-09-08,highest-temperature-in-busan-on-september-8-2026,True,30,30,27.1,28.0,27.7,28.0,28.48,0.339,27.4,29.0,31,<=24:0.001|25:0.001|26:0.001|27:0.001|28:0.001|29:0.001|30:0.9995|31:0.001|32:0.001|33:0.001|>=34:0.001,30,153885.74814
2026-09-08T12:35:16+00:00,qingdao,2026-09-08,highest-temperature-in-qingdao-on-september-8-2026,True,27,27,28.2,27.7,28.3,26.5,27.3,0.521,26.0,28.2,31,<=24:0.001|25:0.001|26:0.001|27:0.9995|28:0.001|29:0.001|30:0.001|31:0.001|32:0.001|33:0.001|>=34:0.001,27,129743.07304
2026-09-08T12:35:17+00:00,kuala lumpur,2026-09-08,highest-temperature-in-kuala-lumpur-on-september-8-2026,True,33,33,35.7,33.7,35.0,33.2,32.91,0.343,32.2,33.5,31,<=28:0.001|29:0.001|30:0.001|31:0.001|32:0.001|33:0.9995|34:0.001|35:0.001|36:0.001|37:0.001|>=38:0.001,33,89209.52546
2026-09-08T12:35:17+00:00,karachi,2026-09-09,highest-temperature-in-karachi-on-september-9-2026,False,,,31.9,33.2,31.4,32.6,33.45,0.97,31.7,35.2,31,<=26:0.002|27:0.0025|28:0.006|29:0.015|30:0.03|31:0.12000000000000001|32:0.505|33:0.33999999999999997|34:0.04|35:0.013000000000000001|>=36:0.0055,32,86630.77768
2026-09-08T12:35:17+00:00,moscow,2026-09-09,highest-temperature-in-moscow-on-september-9-2026,False,,,20.0,20.3,21.3,20.0,20.11,0.725,18.1,22.0,31,<=14:0.001|15:0.001|16:0.0025|17:0.003|18:0.02|19:0.07|20:0.425|21:0.445|22:0.05|23:0.02|>=24:0.003,21,83534.87994
2026-09-08T12:35:17+00:00,singapore,2026-09-08,highest-temperature-in-singapore-on-september-8-2026,True,33,33,33.4,32.3,31.7,33.1,31.68,0.339,31.1,32.4,31,<=28:0.001|29:0.001|30:0.001|31:0.001|32:0.001|33:0.9995|34:0.001|35:0.001|36:0.001|37:0.001|>=38:0.001,33,95439.48571
2026-09-08T12:35:18+00:00,singapore,2026-09-10,highest-temperature-in-singapore-on-september-10-2026,False,,,30.7,30.4,31.0,32.1,30.24,0.714,28.7,31.3,31,<=27:0.0015|28:0.0055|29:0.0055|30:0.05|31:0.25|32:0.565|33:0.16|34:0.0165|35:0.0055|36:0.004999999999999999|>=37:0.002,32,78310.82925
2026-09-08T12:35:18+00:00,guangzhou,2026-09-09,highest-temperature-in-guangzhou-on-september-9-2026,False,,,32.6,31.9,33.8,33.1,33.4,0.371,32.5,34.0,31,<=28:0.001|29:0.004|30:0.0025|31:0.015|32:0.015|33:0.045|34:0.26|35:0.49|36:0.185|37:0.003|>=38:0.0015,35,73967.55727
2026-09-08T12:35:19+00:00,taipei,2026-09-08,highest-temperature-in-taipei-on-september-8-2026,True,32,32,28.9,29.2,31.3,29.5,29.31,0.165,28.9,29.5,31,<=25:0.001|26:0.001|27:0.001|28:0.001|29:0.001|30:0.001|31:0.001|32:0.9995|33:0.001|34:0.001|>=35:0.001,32,72977.95051
2026-09-08T12:35:19+00:00,hong kong,2026-09-10,highest-temperature-in-hong-kong-on-september-10-2026,False,,,29.6,29.9,30.2,30.3,31.07,0.842,28.4,32.3,31,<=26:0.001|27:0.006500000000000001|28:0.05|29:0.14500000000000002|30:0.355|31:0.365|32:0.105|33:0.030000000000000002|34:0.04|35:0.04|>=36:0.002,31,69869.52827
2026-09-08T12:35:20+00:00,atlanta,2025-12-17,highest-temperature-in-atlanta-on-december-17,True,60,,,,,,,,,,0,<=49:0.001|50:0.001|52:0.4965|54:0.998|56:0.001|58:0.001|>=60:0.9995,>=60,605845.35898
2026-09-08T12:35:20+00:00,panama city,2026-05-20,highest-temperature-in-panama-city-on-may-20-2026,True,31,,,,,,,,,,0,<=21:0.001|22:0.001|23:0.001|24:0.001|25:0.001|26:0.001|27:0.001|28:0.001|29:0.001|30:0.001|>=31:0.9995,>=31,302463.48111
2026-09-08T12:35:20+00:00,munich,2026-05-20,highest-temperature-in-munich-on-may-20-2026,True,19,19,,,,,,,,,0,<=12:0.001|13:0.001|14:0.001|15:0.001|16:0.001|17:0.001|18:0.001|19:0.9995|20:0.001|21:0.001|>=22:0.001,19,63399.61933
2026-09-08T12:35:20+00:00,cape town,2026-05-19,arch-highest-temperature-in-cape-town-on-may-19-2026,False,,,,,,,,,,,0,<=15:0.0025|16:0.0025|17:0.0035|18:0.004|19:0.0175|20:0.065|21:0.125|22:0.32999999999999996|23:0.28500000000000003|24:0.0905|>=25:0.015,22,43712.92697
